id,x,y,z,qx,qy,qz,qw
1302,-90.0971,149.22,-1.90037,-0.0128228,0.0071477,0.953541,0.300903
1303,-93.4249,151.653,-2.0074,-0.00998934,0.00819157,0.955418,0.294974
1304,-96.8415,154.055,-2.13205,-0.0149584,0.0120959,0.95859,0.284139
1305,-100.432,156.437,-2.28308,-0.0210739,0.0129546,0.96216,0.271359
1306,-104.045,158.727,-2.44592,-0.0214779,0.0203812,0.965548,0.258534
1307,-107.724,160.898,-2.63472,-0.0145649,0.0173131,0.968181,0.249225
1308,-111.326,162.954,-2.76011,-0.00967549,0.014321,0.969484,0.244547
1309,-115.131,165.087,-2.87372,-0.0131819,0.0104349,0.969167,0.245831
1310,-118.693,167.204,-2.96839,-0.0145316,0.0063557,0.960744,0.276983
1311,-121.928,169.653,-3.07396,-0.0232342,0.00308795,0.933872,0.356838
1312,-124.603,172.794,-3.27615,-0.0315389,0.00359805,0.877266,0.478954
1313,-126.23,176.752,-3.49319,-0.0270013,0.000231358,0.783748,0.620492
1314,-126.403,180.992,-3.62498,-0.028832,-0.00287022,0.663253,0.747835
1315,-125.18,185.052,-3.72712,-0.0273082,-0.0043408,0.548386,0.835768
1316,-123.01,188.818,-3.79309,-0.0235542,-0.00403209,0.487324,0.872894
1317,-120.791,192.151,-3.83998,-0.0221376,-0.00510351,0.479596,0.877195
1318,-118.532,195.518,-3.875,-0.0232198,-0.00593611,0.480356,0.876746
1319,-116.236,198.969,-3.90662,-0.0272146,-0.000456896,0.482282,0.875593
1320,-113.963,202.382,-4.01311,-0.0249218,0.00150231,0.482797,0.875376
1321,-111.669,205.847,-4.10904,-0.0274812,0.00303383,0.482754,0.87532
1322,-109.38,209.291,-4.21479,-0.0263354,0.00200322,0.483561,0.874912
1323,-107.127,212.715,-4.31484,-0.0264049,0.000290538,0.484643,0.874314
1324,-104.891,216.122,-4.40171,-0.0249382,0.00107078,0.486052,0.873574
1325,-102.525,219.75,-4.49496,-0.0253005,0.00158485,0.48825,0.872336
1326,-100.234,223.323,-4.58384,-0.0262312,9.70367e-05,0.489758,0.871464
1327,-97.9374,226.914,-4.67443,-0.0265261,-0.00205257,0.490926,0.870795
1328,-95.7026,230.445,-4.75609,-0.0301077,0.00180285,0.491557,0.870323
1329,-93.4132,234.047,-4.89229,-0.0304243,0.00541278,0.492156,0.869959
1330,-91.0768,237.736,-5.04443,-0.0305146,0.00523091,0.491862,0.870122
1331,-88.7399,241.376,-5.18803,-0.0319331,0.00437967,0.47897,0.87724
1332,-86.1479,244.893,-5.32036,-0.0292992,0.00091032,0.425869,0.90431
1333,-83.0853,247.835,-5.401,-0.0343209,0.00150216,0.318016,0.947463
